dataset,method,blocks,bits_per_weight_count,bits_per_weight_mean,bits_per_weight_std,relative_mse_count,relative_mse_mean,relative_mse_std,activation_output_relative_mse_count,activation_output_relative_mse_mean,activation_output_relative_mse_std
llama_down_proj,dct_q3,40,40,3.0078125,0,40,0.130322669805,0.0198950828069,0,,
llama_down_proj,fft_q3,40,40,3.0078125,0,40,0.135637515109,0.0208562935036,0,,
llama_down_proj,hadamard_q3,40,40,3.0078125,0,40,0.133717679343,0.022914631775,0,,
llama_down_proj,hybrid_dct_topk12p5_q8_hadamard_q2_oracle,40,40,4.515625,0,40,0.402602837087,0.0211183664545,0,,
llama_down_proj,hybrid_dct_zigzag12p5_q8_hadamard_q2,40,40,3.01953125,0,40,0.726482712562,0.0435647545133,0,,
llama_down_proj,hybrid_dct_zigzag12p5_q8_hadamard_q3,40,40,4.01953125,0,40,0.128106774383,0.0211685192711,0,,
llama_down_proj,hybrid_dct_zigzag6p25_q8_hadamard_q3,40,40,3.51953125,0,40,0.130806851792,0.0208299364025,0,,
llama_down_proj,identity_q3,40,40,3.0078125,0,40,0.168178655485,0.0780505084639,0,,
llama_down_proj,identity_q4,40,40,4.0078125,0,40,0.0312118598681,0.0161892583706,0,,
llama_down_proj,randomized_hadamard_q3,40,40,3.0078125,0,40,0.133861690222,0.0224387641776,0,,
llama_q_proj,dct_q3,40,40,3.0078125,0,40,0.159252431477,0.0541604857849,8,0.0336054883348,0.0217342258511
llama_q_proj,fft_q3,40,40,3.0078125,0,40,0.149798395106,0.0314258687397,8,0.0179729265129,0.0142463850299
llama_q_proj,hadamard_q3,40,40,3.0078125,0,40,0.143756956416,0.0361076794658,8,0.0289038092144,0.025266258094
llama_q_proj,hybrid_dct_topk12p5_q8_hadamard_q2_oracle,40,40,4.515625,0,40,0.39382775004,0.0365937887782,8,0.100517878778,0.0467881430268
llama_q_proj,hybrid_dct_zigzag12p5_q8_hadamard_q2,40,40,3.01953125,0,40,0.720492855923,0.041684547902,8,0.369901445839,0.0958694868068
llama_q_proj,hybrid_dct_zigzag12p5_q8_hadamard_q3,40,40,4.01953125,0,40,0.134022264083,0.0285791035428,8,0.0232001194761,0.0201586161069
llama_q_proj,hybrid_dct_zigzag6p25_q8_hadamard_q3,40,40,3.51953125,0,40,0.1373640268,0.030119848426,8,0.0265947878886,0.0254270921394
llama_q_proj,identity_q3,40,40,3.0078125,0,40,0.244235592926,0.107675116058,8,0.0865137156268,0.0563838109668
llama_q_proj,identity_q4,40,40,4.0078125,0,40,0.0605091641791,0.0460798543175,8,0.0183291033059,0.0126579758196
llama_q_proj,randomized_hadamard_q3,40,40,3.0078125,0,40,0.156643901573,0.0460435181694,8,0.0314070484229,0.0264188383654
synthetic_gaussian,dct_q3,12,12,3.0078125,0,12,0.144095994887,0.0277007183266,0,,
synthetic_gaussian,fft_q3,12,12,3.0078125,0,12,0.127139438233,0.0251472504685,0,,
synthetic_gaussian,hadamard_q3,12,12,3.0078125,0,12,0.14187314044,0.0335390435128,0,,
synthetic_gaussian,hybrid_dct_topk12p5_q8_hadamard_q2_oracle,12,12,4.515625,0,12,0.410044787353,0.0211056596971,0,,
synthetic_gaussian,hybrid_dct_zigzag12p5_q8_hadamard_q2,12,12,3.01953125,0,12,0.736251979173,0.043836805659,0,,
synthetic_gaussian,hybrid_dct_zigzag12p5_q8_hadamard_q3,12,12,4.01953125,0,12,0.135560445924,0.0346447939544,0,,
synthetic_gaussian,hybrid_dct_zigzag6p25_q8_hadamard_q3,12,12,3.51953125,0,12,0.138568404808,0.0340299593294,0,,
synthetic_gaussian,identity_q3,12,12,3.0078125,0,12,0.139714543371,0.0214562608749,0,,
synthetic_gaussian,identity_q4,12,12,4.0078125,0,12,0.0256749194228,0.00395296981478,0,,
synthetic_gaussian,randomized_hadamard_q3,12,12,3.0078125,0,12,0.140206630176,0.0210833946548,0,,
synthetic_outlier,dct_q3,12,12,3.0078125,0,12,0.100195845881,0.0139337650369,0,,
synthetic_outlier,fft_q3,12,12,3.0078125,0,12,0.0845271130886,0.00911261443367,0,,
synthetic_outlier,hadamard_q3,12,12,3.0078125,0,12,0.0633696500025,0.00835378191637,0,,
synthetic_outlier,hybrid_dct_topk12p5_q8_hadamard_q2_oracle,12,12,4.515625,0,12,0.401837153763,0.0293915069701,0,,
synthetic_outlier,hybrid_dct_zigzag12p5_q8_hadamard_q2,12,12,3.01953125,0,12,0.554557844336,0.0415135773517,0,,
synthetic_outlier,hybrid_dct_zigzag12p5_q8_hadamard_q3,12,12,4.01953125,0,12,0.0669753645657,0.009529664935,0,,
synthetic_outlier,hybrid_dct_zigzag6p25_q8_hadamard_q3,12,12,3.51953125,0,12,0.0658433723531,0.00731398086769,0,,
synthetic_outlier,identity_q3,12,12,3.0078125,0,12,0.0398505699611,0.0148285320924,0,,
synthetic_outlier,identity_q4,12,12,4.0078125,0,12,0.0212370866774,0.0118035991705,0,,
synthetic_outlier,randomized_hadamard_q3,12,12,3.0078125,0,12,0.0634688941353,0.010230591053,0,,
synthetic_smooth,dct_q3,12,12,3.0078125,0,12,0.159044254367,0.0458580351586,0,,
synthetic_smooth,fft_q3,12,12,3.0078125,0,12,0.25109397422,0.0794165831302,0,,
synthetic_smooth,hadamard_q3,12,12,3.0078125,0,12,0.223964843879,0.0487788675444,0,,
synthetic_smooth,hybrid_dct_topk12p5_q8_hadamard_q2_oracle,12,12,4.515625,0,12,0.000399557296601,0.000140547556686,0,,
synthetic_smooth,hybrid_dct_zigzag12p5_q8_hadamard_q2,12,12,3.01953125,0,12,0.000399557296601,0.000140547556686,0,,
synthetic_smooth,hybrid_dct_zigzag12p5_q8_hadamard_q3,12,12,4.01953125,0,12,0.000116574418047,4.23730129051e-05,0,,
synthetic_smooth,hybrid_dct_zigzag6p25_q8_hadamard_q3,12,12,3.51953125,0,12,0.000186941404324,3.58096209381e-05,0,,
synthetic_smooth,identity_q3,12,12,3.0078125,0,12,0.0893778577198,0.0240353394478,0,,
synthetic_smooth,identity_q4,12,12,4.0078125,0,12,0.0160434289348,0.00414323855497,0,,
synthetic_smooth,randomized_hadamard_q3,12,12,3.0078125,0,12,0.293973965273,0.0700877070714,0,,
